Country,Company_Count,Deal_Count,Capital_Invested,Capital_Invested_M,Revenue,Revenue_Max,,,
Mozambique,6,13,1.17,0.23,-,-,,,
Myanmar,30,53,55.67,0.11,0.34,1.19,,,
Namibia,5,9,7.15,3.58,-,-,,,
Nepal,13,21,998.58,0.79,391.67,392.11,,,
Netherlands,"2,460","4,443","120,934.27",0.72,28.92,"49,917.98",,,
New Caledonia,1,1,-,-,-,-,,,
New Zealand,432,820,"6,584.57",1.12,26.05,"9,706.26",,,
Nicaragua,4,12,18.49,0.02,12.38,12.38,,,
Niger,5,8,1.07,0.08,-,-,,,
Nigeria,178,355,"2,674.24",0.1,2.13,214.1,,,
North Korea,1,1,29.62,29.62,-,-,,,
Norway,955,"1,834","28,169.16",1.65,2.57,"18,474.41",,,
Oman,2,3,0.01,0.01,-,-,,,
Pakistan,74,153,999.25,0.2,"1,116.75","2,225.00",,,
Palestine,19,34,2.18,0.02,-,-,,,
Panama,30,46,806.71,1.12,-,-,,,
Papua New Guinea,1,2,-,-,-,-,,,
Paraguay,7,8,42.87,11.78,-,-,,,
Peru,96,191,"2,084.20",0.03,151.68,"1,378.83",,,
Philippines,207,399,"3,085.28",0.36,8.82,"1,037.24",,,
Poland,837,"1,560","13,141.92",0.4,3.61,300.81,,,
Portugal,652,"1,272","13,903.67",0.2,22.23,"13,464.94",,,
Qatar,38,47,182.19,0.16,"5,881.14","6,170.63",,,
Reunion,3,6,0.47,0.24,-,-,,,
Romania,187,287,999.72,0.19,3.26,"16,353.47",,,
Russia,"1,873","3,494","20,080.14",0.16,21.44,"7,131.43",,,
Rwanda,15,40,9.61,0.13,-,-,,,
Saint Kitts and Nevis,1,2,61.94,61.94,-,-,,,
Saint Lucia,1,2,-,-,-,-,,,
Saudi Arabia,160,244,"13,050.22",0.14,139.45,"10,034.14",,,
Senegal,12,21,67.79,1.55,-,-,,,
Serbia,87,133,284.92,0.2,2.44,2.44,,,
Seychelles,6,6,3.81,1.91,-,-,,,
Sierra Leone,5,9,0.94,0.47,-,-,,,
Singapore,"1,199","2,573","31,312.23",0.66,9.35,"34,086.46",,,
Sint Maarten,1,1,-,-,-,-,,,
Slovakia,106,184,"1,351.56",0.07,11,309.42,,,
Slovenia,78,128,908.97,0.04,6.91,242.92,,,
Somalia,1,2,1.26,1.26,-,-,,,
South Africa,562,992,"7,117.66",0.69,34.21,"4,753.27",,,
South Korea,"1,076","2,132","49,171.99",1.18,25.39,"166,264.22",,,
Spain,"2,633","5,242","87,265.54",0.35,7.98,"130,251.59",,,
Sri Lanka,30,59,163.16,2.64,49.33,147.06,,,
Sudan,1,1,0.3,0.3,-,-,,,
Suriname,1,1,-,-,-,-,,,
Swaziland,3,9,-,-,8.76,8.76,,,
Sweden,"2,858","5,718","56,539.32",0.86,0.82,"49,378.68",,,
Switzerland,"1,343","2,657","112,503.78",0.95,20.23,"26,774.42",,,
Syria,1,2,-,-,-,-,,,
Taiwan,218,413,"3,379.70",2.45,37.63,"10,226.02",,,
Tanzania,36,85,183.14,0.24,-,-,,,
Thailand,197,366,"5,325.42",1.09,19.88,"10,631.76",,,
The Gambia,1,1,0.01,0.01,-,-,,,
Trinidad and Tobago,3,5,54.69,54.69,-,-,,,
Tunisia,11,16,5.12,1.22,-,-,,,
Turkey,626,"1,074","8,755.05",0.63,380.97,"4,484.22",,,
Turks and Caicos,1,1,-,-,-,-,,,
Uganda,45,113,"7,804.28",0.08,-,-,,,
Ukraine,202,358,943.81,0.07,82.6,"3,162.38",,,
United Arab Emirates,321,626,"8,277.58",0.43,30.23,"7,290.79",,,
Uruguay,46,81,409.6,0.11,2.1,3.56,,,
Uzbekistan,2,2,0.05,0.05,-,-,,,
Vanuatu,3,5,5.42,0.92,-,-,,,
Venezuela,42,71,10.67,0.03,-,-,,,
Vietnam,132,245,"2,003.42",0.76,216.96,"2,137.87",,,
Zambia,15,23,2.12,0.14,-,-,,,
Zimbabwe,13,27,48.94,0.33,63.67,63.67,,,
